doc_id,dominant_topic,confidence
0,3,0.6384364
1,2,0.96214443
2,3,0.62697506
3,5,0.95817953
4,2,0.7569066
5,5,0.9581772
6,5,0.9494146
7,2,0.98212427
8,2,0.98446584
9,6,0.96168584
10,3,0.6816764
11,3,0.70285875
12,2,0.8916357
13,6,0.8536598
14,5,0.9615121
15,0,0.5844705
16,1,0.75634915
17,4,0.9641637
18,6,0.82266974
19,3,0.5826202
20,5,0.9581799
21,0,0.5906777
22,2,0.9649758
23,3,0.58849174
24,7,0.55754715
25,6,0.9616897
26,3,0.67352957
27,2,0.6503331
28,0,0.51070255
29,6,0.84820074
30,6,0.9645184
31,3,0.69502515
32,5,0.95817804
33,3,0.7769612
34,0,0.8226244
35,3,0.6054933
36,6,0.8159802
37,5,0.7623391
38,0,0.5523688
39,2,0.9844662
40,0,0.95872
41,3,0.9834995
42,1,0.56141484
43,3,0.61908686
44,0,0.9587217
45,6,0.9645162
46,6,0.96168965
47,2,0.982771
48,3,0.9828273
49,2,0.9550113
50,6,0.9544232
51,2,0.98142284
52,3,0.61397177
53,3,0.52693987
54,3,0.52785
55,6,0.7062348
56,3,0.6470986
57,7,0.8672768
58,3,0.7257539
59,0,0.5744845
60,0,0.5706399
61,6,0.96168727
62,1,0.55855656
63,0,0.87999386
64,6,0.80674344
65,1,0.95724285
66,0,0.55906993
67,3,0.48609784
68,5,0.8058166
69,0,0.96481794
70,0,0.96722865
71,6,0.9669575
72,4,0.6555035
73,0,0.87080234
74,3,0.56407315
75,0,0.9548064
76,4,0.498195
77,3,0.6335774
78,3,0.60152084
79,7,0.9575021
80,5,0.6828706
81,2,0.9789495
82,0,0.9587158
83,1,0.84330374
84,4,0.78023946
85,7,0.7778723
86,7,0.501052
87,1,0.5030497
88,6,0.95837134
89,2,0.54325265
90,4,0.9491457
91,3,0.67743635
92,3,0.64479345
93,5,0.9643555
94,6,0.9690834
95,0,0.9587213
96,6,0.64385784
97,3,0.9841212
98,3,0.61305755
99,2,0.964976
100,5,0.95817506
101,3,0.5970627
102,6,0.68004346
103,5,0.7945405
104,3,0.6677392
105,3,0.7959933
106,3,0.6778627
107,3,0.71664155
108,3,0.5415706
109,7,0.8044284
110,3,0.7134497
111,2,0.9814225
112,3,0.75253135
113,4,0.5542297
114,7,0.95346737
115,6,0.9616894
116,3,0.6548888
117,0,0.9587164
118,3,0.5493475
119,3,0.70883614
120,3,0.7251688
121,0,0.6223178
122,3,0.56809837
123,3,0.5893702
124,2,0.9673834
125,0,0.49866015
126,5,0.9615107
127,2,0.98142385
128,6,0.96169084
129,3,0.628431
130,3,0.8786309
131,4,0.9539666
132,3,0.9834996
133,5,0.49056882
134,5,0.958178
135,3,0.5892577
136,3,0.64772767
137,3,0.69487256
138,3,0.827013
139,6,0.7699339
140,0,0.96201116
141,3,0.5287798
142,2,0.9694822
143,2,0.982771
144,3,0.51573557
145,3,0.5741979
146,7,0.9575002
147,1,0.8519724
148,6,0.4758626
149,6,0.96168786
150,5,0.96151257
151,0,0.7154092
152,3,0.5741681
153,2,0.8714765
154,0,0.95872027
155,2,0.9827724
156,5,0.87690717
157,2,0.94161177
158,5,0.9615135
159,2,0.64299595
160,3,0.6638309
161,0,0.5229069
162,7,0.9534652
163,2,0.9821233
164,4,0.9579583
165,6,0.6156503
166,4,0.9579546
167,0,0.6394834
168,4,0.95795894
169,3,0.73594725
170,3,0.54667723
171,0,0.7370511
172,5,0.77991414
173,6,0.7918462
174,5,0.95817924
175,2,0.98277265
176,6,0.8261542
177,3,0.73621917
178,3,0.6132699
179,3,0.9828273
180,0,0.8651112
181,5,0.9542127
182,3,0.71575665
183,3,0.9841212
184,6,0.9616887
185,3,0.5527241
186,0,0.9672362
187,5,0.95817184
188,3,0.6951998
189,0,0.9648161
190,4,0.4980898
191,4,0.9579587
192,5,0.9615128
