antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
Firewalls,Network Security,0.0355,0.0355,0.031,0.8732394366197184,24.598293989287843,1.0,0.02973975,7.608833333333337,0.9946571012893192,0.7750000000000001,0.8685738067596873,0.8732394366197184
Network Security,Firewalls,0.0355,0.0355,0.031,0.8732394366197184,24.598293989287843,1.0,0.02973975,7.608833333333337,0.9946571012893192,0.7750000000000001,0.8685738067596873,0.8732394366197184
"Information Architecture, Teamwork",Prototyping,0.031,0.0415,0.0305,0.9838709677419355,23.707734162456276,1.0,0.0292135,59.427000000000056,0.9884619939433928,0.726190476190476,0.9831726319686338,0.85940536338904
Prototyping,"Information Architecture, Teamwork",0.0415,0.031,0.0305,0.7349397590361445,23.707734162456273,1.0,0.0292135,3.6557727272727263,0.9992902160992672,0.726190476190476,0.726460019645144,0.85940536338904
"Teamwork, Adobe Xd",Prototyping,0.0305,0.0415,0.03,0.9836065573770492,23.70136282836263,1.0,0.02873425,58.468499999999935,0.987940519167956,0.7142857142857141,0.9828967734763163,0.8532490618210546
"Teamwork, Adobe Xd",Usability Testing,0.0305,0.0415,0.03,0.9836065573770492,23.70136282836263,1.0,0.02873425,58.468499999999935,0.987940519167956,0.7142857142857141,0.9828967734763163,0.8532490618210546
Usability Testing,"Teamwork, Adobe Xd",0.0415,0.0305,0.03,0.7228915662650601,23.701362828362626,1.0,0.02873425,3.498630434782607,0.9992783863675883,0.7142857142857141,0.7141738692780404,0.8532490618210546
Prototyping,"Teamwork, Adobe Xd",0.0415,0.0305,0.03,0.7228915662650601,23.701362828362626,1.0,0.02873425,3.498630434782607,0.9992783863675883,0.7142857142857141,0.7141738692780404,0.8532490618210546
Visual Design,"Wireframing, Teamwork",0.041,0.0315,0.0305,0.7439024390243902,23.615950445218736,1.0,0.0292085,3.781761904761905,0.9985982666370365,0.726190476190476,0.7355729881511515,0.8560782036391792
"Teamwork, Usability Testing",Visual Design,0.0315,0.041,0.0305,0.9682539682539683,23.615950445218736,1.0,0.0292085,30.2085,0.9888030332523676,0.726190476190476,0.9668967343628448,0.8560782036391792
