antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
Firewalls,Network Security,0.0355,0.0355,0.031,0.8732394366197184,24.598293989287843,1.0,0.02973975,7.608833333333337,0.9946571012893192,0.7750000000000001,0.8685738067596873,0.8732394366197184
Network Security,Firewalls,0.0355,0.0355,0.031,0.8732394366197184,24.598293989287843,1.0,0.02973975,7.608833333333337,0.9946571012893192,0.7750000000000001,0.8685738067596873,0.8732394366197184
Data Science,"Market Research, Stakeholder Management",0.0405,0.036,0.034,0.8395061728395062,23.31961591220851,1.0,0.032542,6.006461538461541,0.9975170891702172,0.8000000000000002,0.8335126274268737,0.8919753086419754
"Market Research, Stakeholder Management",Data Science,0.036,0.0405,0.034,0.9444444444444444,23.319615912208505,1.0,0.032542,17.271000000000026,0.99286062972907,0.8000000000000002,0.9420994731052054,0.8919753086419754
"Mvp, Data Science",Market Research,0.036,0.0415,0.0345,0.9583333333333336,23.09236947791165,1.0,0.033006,23.004000000000083,0.9924228756990798,0.8023255813953489,0.956529299252304,0.8948293172690764
Market Research,"Mvp, Data Science",0.0415,0.036,0.0345,0.8313253012048193,23.09236947791165,1.0,0.033006,5.715142857142857,0.998117529654578,0.8023255813953489,0.8250262460630905,0.8948293172690764
"Product Strategy, Data Science",Market Research,0.035,0.0415,0.033,0.9428571428571428,22.71944922547332,1.0,0.0315475,16.773749999999996,0.9906578740775632,0.7586206896551723,0.9403830389745884,0.8690189328743545
Market Research,"Product Strategy, Data Science",0.0415,0.035,0.033,0.7951807228915663,22.71944922547332,1.0,0.0315475,4.711470588235295,0.9973759504275936,0.7586206896551723,0.7877520444472189,0.8690189328743545
"Mvp, Market Research",Data Science,0.0375,0.0405,0.0345,0.9200000000000002,22.71604938271605,1.0,0.03298125,11.993750000000023,0.9932241671372104,0.7931034482758622,0.9166232412714956,0.885925925925926
Data Science,"Mvp, Market Research",0.0405,0.0375,0.0345,0.8518518518518519,22.71604938271605,1.0,0.03298125,6.496875,0.9963296100777128,0.7931034482758622,0.8460798460798461,0.885925925925926
