skill,demand_percentage,supply_percentage,gap_score,status
Teamwork,66.7,31.03,35.67,Critical Shortage
Problem Solving,67.85,33.93,33.92,Critical Shortage
Communication,65.75,36.69,29.06,Critical Shortage
Python,56.05,32.61,23.44,Critical Shortage
Git,47.45,25.23,22.22,Critical Shortage
Rest Apis,42.3,20.69,21.61,Critical Shortage
SQL,45.25,24.9,20.35,Critical Shortage
JavaScript,32.4,17.13,15.27,Critical Shortage
Unit Testing,12.95,0.0,12.95,Critical Shortage
Node.js,18.5,5.86,12.64,Critical Shortage
Docker,25.5,13.5,12.0,Critical Shortage
MongoDB,18.9,7.51,11.39,Critical Shortage
React,16.8,5.67,11.13,Critical Shortage
HTML/CSS,18.9,10.47,8.43,Moderate Shortage
Figma,10.9,2.57,8.33,Moderate Shortage
Api Design,8.0,0.0,8.0,Moderate Shortage
TypeScript,15.95,8.56,7.39,Moderate Shortage
Redux,7.25,0.0,7.25,Moderate Shortage
Object-Oriented Programming,13.5,7.38,6.12,Moderate Shortage
Debugging,13.55,7.77,5.78,Moderate Shortage
PostgreSQL,9.4,3.62,5.78,Moderate Shortage
Algorithms,12.9,7.18,5.72,Moderate Shortage
Data Structures,12.9,7.31,5.59,Moderate Shortage
Linux,32.4,27.14,5.26,Moderate Shortage
Django,8.55,4.41,4.14,Mild Shortage
Dart,4.0,0.0,4.0,Mild Shortage
Scala,3.4,0.0,3.4,Mild Shortage
Redis,8.1,4.74,3.36,Mild Shortage
Hadoop,3.3,0.0,3.3,Mild Shortage
Jira,6.8,3.56,3.24,Mild Shortage
Kafka,3.05,0.0,3.05,Mild Shortage
AWS,11.4,8.43,2.97,Mild Shortage
User Research,7.95,5.34,2.61,Mild Shortage
Scrum,5.1,2.57,2.53,Mild Shortage
React Native,3.7,1.25,2.45,Mild Shortage
Swift,3.7,1.32,2.38,Mild Shortage
Responsive Design,7.3,5.01,2.29,Mild Shortage
Kotlin,3.8,1.52,2.28,Mild Shortage
Statistics,10.3,8.04,2.26,Mild Shortage
Mobile Ui,3.6,1.38,2.22,Mild Shortage
Android,3.3,1.12,2.18,Mild Shortage
Ios,3.7,1.52,2.18,Mild Shortage
Firebase,3.4,1.32,2.08,Mild Shortage
Data Visualization,9.75,7.71,2.04,Mild Shortage
Excel,6.1,4.08,2.02,Mild Shortage
Wireframing,4.2,2.24,1.96,Mild Shortage
App Store Deployment,3.3,1.45,1.85,Mild Shortage
Usability Testing,4.15,2.31,1.84,Mild Shortage
Product Strategy,4.2,2.37,1.83,Mild Shortage
Flutter,3.4,1.58,1.82,Mild Shortage
Stakeholder Management,4.2,2.5,1.7,Mild Shortage
Confluence,1.65,0.0,1.65,Mild Shortage
Machine Learning,8.25,6.72,1.53,Mild Shortage
Prototyping,4.15,2.7,1.45,Mild Shortage
Looker,5.85,4.41,1.44,Mild Shortage
Data Science,4.05,2.64,1.41,Mild Shortage
Power BI,5.6,4.22,1.38,Mild Shortage
Information Architecture,4.1,2.77,1.33,Mild Shortage
Adobe Xd,4.15,2.83,1.32,Mild Shortage
Visual Design,4.1,2.83,1.27,Mild Shortage
Design Systems,4.3,3.03,1.27,Mild Shortage
Tableau,9.3,8.04,1.26,Mild Shortage
Market Research,4.15,2.9,1.25,Mild Shortage
Postman,1.55,0.33,1.22,Mild Shortage
Regression Testing,1.6,0.4,1.2,Mild Shortage
Roadmapping,4.2,3.03,1.17,Mild Shortage
Business Intelligence,5.55,4.41,1.14,Mild Shortage
Conflict Resolution,1.1,0.0,1.1,Mild Shortage
Team Coaching,1.1,0.0,1.1,Mild Shortage
Test Automation,1.4,0.33,1.07,Mild Shortage
Mvp,4.1,3.03,1.07,Mild Shortage
Test Planning,1.5,0.46,1.04,Mild Shortage
Facilitation,1.0,0.0,1.0,Mild Shortage
Data Cleaning,6.0,5.01,0.99,Mild Shortage
Safe,0.95,0.0,0.95,Mild Shortage
Selenium,1.35,0.4,0.95,Mild Shortage
Kanban,0.95,0.0,0.95,Mild Shortage
Retrospectives,0.95,0.0,0.95,Mild Shortage
Api Testing,1.4,0.53,0.87,Mild Shortage
Backup,0.8,0.0,0.8,Mild Shortage
Manual Testing,1.3,0.53,0.77,Mild Shortage
Virtualization,0.75,0.0,0.75,Mild Shortage
Research,0.75,0.0,0.75,Mild Shortage
Windows Server,0.75,0.0,0.75,Mild Shortage
Madcap Flare,0.75,0.0,0.75,Mild Shortage
C#,3.75,3.03,0.72,Mild Shortage
Technical Writing,0.7,0.0,0.7,Mild Shortage
Markdown,0.7,0.0,0.7,Mild Shortage
Api Documentation,0.65,0.0,0.65,Mild Shortage
Scikit-Learn,4.0,3.36,0.64,Mild Shortage
Webpack,6.75,6.32,0.43,Mild Shortage
Compliance,2.8,2.7,0.1,Mild Shortage
Incident Response,2.65,2.57,0.08,Mild Shortage
TensorFlow,3.85,3.89,-0.04,Mild Surplus
Cryptography,2.65,2.7,-0.05,Mild Surplus
NumPy,4.0,4.22,-0.22,Mild Surplus
Bash,4.6,4.87,-0.27,Mild Surplus
Risk Assessment,2.85,3.16,-0.31,Mild Surplus
Agile Testing,0.0,0.4,-0.4,Mild Surplus
Bug Tracking,0.0,0.4,-0.4,Mild Surplus
Penetration Testing,2.75,3.23,-0.48,Mild Surplus
Performance Testing,0.0,0.53,-0.53,Mild Surplus
