skill,demand_percentage,supply_percentage,gap_score,status
Leadership,0.0,33.47,-33.47,Critical Surplus
Time Management,0.0,33.0,-33.0,Critical Surplus
Creativity,0.0,31.75,-31.75,Critical Surplus
Critical Thinking,0.0,31.03,-31.03,Critical Surplus
Adaptability,0.0,30.5,-30.5,Critical Surplus
Testing,0.0,14.23,-14.23,Critical Surplus
Monitoring,0.7,11.33,-10.63,Critical Surplus
Documentation,0.65,8.96,-8.31,Moderate Surplus
Scripting,0.0,6.92,-6.92,Moderate Surplus
Database Design,1.2,7.71,-6.51,Moderate Surplus
Agile,4.8,10.87,-6.07,Moderate Surplus
Vue.js,0.0,5.93,-5.93,Moderate Surplus
Ui/Ux Principles,0.0,5.86,-5.86,Moderate Surplus
Angular,0.0,5.4,-5.4,Moderate Surplus
Authentication,0.0,5.27,-5.27,Moderate Surplus
Api Security,0.0,5.14,-5.14,Moderate Surplus
Microservices,0.0,4.61,-4.61,Mild Surplus
Reporting,0.0,4.48,-4.48,Mild Surplus
Wireshark,0.8,5.27,-4.47,Mild Surplus
Infrastructure As Code,0.0,4.22,-4.22,Mild Surplus
PyTorch,0.0,3.69,-3.69,Mild Surplus
A/B Testing,0.0,3.56,-3.56,Mild Surplus
Interaction Design,0.0,3.36,-3.36,Mild Surplus
Google Cloud,0.0,3.29,-3.29,Mild Surplus
Database Security,0.0,3.16,-3.16,Mild Surplus
Java,13.15,16.27,-3.12,Mild Surplus
Product Metrics,0.0,3.03,-3.03,Mild Surplus
Nist,0.0,2.96,-2.96,Mild Surplus
Photoshop,0.0,2.96,-2.96,Mild Surplus
Dns,0.0,2.9,-2.9,Mild Surplus
