antecedents,consequents,support,confidence,lift
Cryptography,"Incident Response, Firewalls",0.021716101694915255,0.7735849056603774,31.750615258408533
"Incident Response, Firewalls",Cryptography,0.021716101694915255,0.8913043478260869,31.75061525840853
"Incident Response, Network Security",Penetration Testing,0.022775423728813558,0.9148936170212766,31.40580270793037
Penetration Testing,"Incident Response, Network Security",0.022775423728813558,0.7818181818181817,31.405802707930366
Cryptography,"Incident Response, Python",0.022245762711864406,0.7924528301886792,31.16981132075471
"Incident Response, Python",Cryptography,0.022245762711864406,0.8749999999999999,31.16981132075471
Penetration Testing,"Network Security, Linux",0.025423728813559324,0.8727272727272728,31.08885077186964
"Network Security, Linux",Penetration Testing,0.025423728813559324,0.9056603773584906,31.08885077186964
Incident Response,"Network Security, Cryptography",0.021716101694915255,0.7735849056603774,31.07507025291048
"Incident Response, Network Security",Cryptography,0.021716101694915255,0.8723404255319149,31.07507025291048
"Network Security, Cryptography",Incident Response,0.021716101694915255,0.8723404255319149,31.07507025291048
Cryptography,"Incident Response, Network Security",0.021716101694915255,0.7735849056603774,31.07507025291048
"Cryptography, Penetration Testing",Incident Response,0.02065677966101695,0.8666666666666667,30.872955974842768
Incident Response,"Cryptography, Penetration Testing",0.02065677966101695,0.7358490566037735,30.872955974842768
"Network Security, Cryptography",Penetration Testing,0.022245762711864406,0.8936170212765957,30.67543520309478
Penetration Testing,"Network Security, Cryptography",0.022245762711864406,0.7636363636363637,30.67543520309478
"Cryptography, Python",Incident Response,0.022245762711864406,0.8571428571428571,30.533692722371963
Incident Response,"Cryptography, Python",0.022245762711864406,0.7924528301886792,30.533692722371963
Cryptography,"Incident Response, Linux",0.022245762711864406,0.7924528301886792,30.533692722371963
"Cryptography, Linux",Incident Response,0.022245762711864406,0.8571428571428571,30.533692722371963
